P19,0.0021598272138228943,0.0021598272138228943,0.12526997840172785,0.12526997840172785,[X] was born in [Y] .
P20,0.00273224043715847,0.00273224043715847,0.10382513661202186,0.10382513661202186,[X] died in [Y] .
P279,0.05182072829131653,0.05182072829131653,0.29971988795518206,0.29971988795518206,[X] is a subclass of [Y] .
P37,0.015228426395939087,0.015228426395939087,0.20812182741116753,0.20812182741116753,The official language of [X] is [Y] .
P413,0.0,0.0,0.11056511056511056,0.11056511056511056,[X] plays in [Y] position .
P166,0.003,0.003,0.15,0.15,[X] was awarded the [Y] .
P449,0.0041841004184100415,0.0041841004184100415,0.21617852161785217,0.21617852161785217,[X] was originally aired on [Y] .
P69,0.0,0.0,0.11391129032258064,0.11391129032258064,[X] was educated at the University of [Y] .
P47,0.006896551724137931,0.006896551724137931,0.20919540229885059,0.20919540229885059,[X] shares border with [Y] .
P138,0.31985731272294887,0.31985731272294887,0.4221165279429251,0.4221165279429251,[X] is named after [Y] .
P364,0.0,0.0,0.02564102564102564,0.02564102564102564,The original language of [X] is [Y] .
P54,0.0,0.0,0.15175879396984926,0.15175879396984926,[X] plays with [Y] .
P463,0.0,0.0,0.17484008528784648,0.17484008528784648,[X] is a member of [Y] .
P101,0.012925969447708578,0.012925969447708578,0.136310223266745,0.136310223266745,[X] works in the field of [Y] .
P1923,0.0,0.0,0.049255441008018326,0.049255441008018326,[Y] participated in the [X] .
P106,0.008849557522123894,0.008849557522123894,0.26991150442477874,0.26991150442477874,[X] is a [Y] by profession .
P527,0.0023752969121140144,0.0023752969121140144,0.2042755344418052,0.2042755344418052,[X] consists of [Y] .
P102,0.0010070493454179255,0.0010070493454179255,0.18026183282980865,0.18026183282980865,[X] is a member of the [Y] political party .
P530,0.0,0.0,0.1342281879194631,0.1342281879194631,[X] maintains diplomatic relations with [Y] .
P176,0.08759124087591241,0.08759124087591241,0.23357664233576642,0.23357664233576642,[X] is produced by [Y] .
P27,0.0,0.0,0.01303538175046555,0.01303538175046555,[X] is [Y] citizen .
P407,0.06666666666666667,0.06666666666666667,0.35555555555555557,0.35555555555555557,[X] was written in [Y] .
P30,0.0,0.0,0.04081632653061224,0.04081632653061224,[X] is located in [Y] .
P178,0.0199501246882793,0.0199501246882793,0.25561097256857856,0.25561097256857856,[X] is developed by [Y] .
P1376,0.026845637583892617,0.026845637583892617,0.19865771812080538,0.19865771812080538,[X] is the capital of [Y] .
P131,0.030508474576271188,0.030508474576271188,0.25254237288135595,0.25254237288135595,[X] is located in [Y] .
P1412,0.0,0.0,0.09523809523809523,0.09523809523809523,[X] used to communicate in [Y] .
P108,0.0010395010395010396,0.0010395010395010396,0.2390852390852391,0.2390852390852391,[X] works for [Y] .
P136,0.0,0.0,0.11069651741293532,0.11069651741293532,[X] plays [Y] music .
P17,0.003703703703703704,0.003703703703703704,0.2074074074074074,0.2074074074074074,[X] is located in [Y] .
P39,0.0011641443538998836,0.0011641443538998836,0.22584400465657742,0.22584400465657742,[X] has the position of [Y] .
P264,0.0,0.0,0.2222222222222222,0.2222222222222222,[X] is represented by music label [Y] .
P276,0.1581196581196581,0.1581196581196581,0.3418803418803419,0.3418803418803419,[X] is located in [Y] .
P937,0.013245033112582781,0.013245033112582781,0.11920529801324503,0.11920529801324503,[X] used to work in [Y] .
P140,0.0,0.0,0.6929510155316607,0.6929510155316607,[X] is affiliated with the [Y] religion .
P1303,0.0,0.0,0.056716417910447764,0.056716417910447764,[X] plays [Y] .
P127,0.02023809523809524,0.02023809523809524,0.2392857142857143,0.2392857142857143,[X] is owned by [Y] .
P103,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,The native language of [X] is [Y] .
P190,0.009615384615384616,0.009615384615384616,0.16666666666666666,0.16666666666666666,[X] and [Y] are twin cities .
P1001,0.27631578947368424,0.27631578947368424,0.3815789473684211,0.3815789473684211,[X] is a legal term in [Y] .
P31,0.07681159420289856,0.07681159420289856,0.24202898550724639,0.24202898550724639,[X] is a [Y] .
P495,0.0,0.0,0.06874189364461739,0.06874189364461739,[X] was created in [Y] .
P159,0.12149532710280374,0.12149532710280374,0.2616822429906542,0.2616822429906542,The headquarter of [X] is in [Y] .
P36,0.16763848396501457,0.16763848396501457,0.33090379008746357,0.33090379008746357,The capital of [X] is [Y] .
P740,0.010638297872340425,0.010638297872340425,0.23138297872340424,0.23138297872340424,[X] was founded in [Y] .
P361,0.01160092807424594,0.01160092807424594,0.21693735498839908,0.21693735498839908,[X] is part of [Y] .
P19,0.0021598272138228943,0.0021598272138228943,0.12526997840172785,0.12526997840172785,[X] was born in [Y] .
P20,0.00273224043715847,0.00273224043715847,0.10382513661202186,0.10382513661202186,[X] died in [Y] .
P279,0.05182072829131653,0.05182072829131653,0.29971988795518206,0.29971988795518206,[X] is a subclass of [Y] .
P37,0.015228426395939087,0.015228426395939087,0.20812182741116753,0.20812182741116753,The official language of [X] is [Y] .
P413,0.0,0.0,0.11056511056511056,0.11056511056511056,[X] plays in [Y] position .
P166,0.003,0.003,0.15,0.15,[X] was awarded the [Y] .
P449,0.0041841004184100415,0.0041841004184100415,0.21617852161785217,0.21617852161785217,[X] was originally aired on [Y] .
P69,0.0,0.0,0.11391129032258064,0.11391129032258064,[X] was educated at the University of [Y] .
P47,0.006896551724137931,0.006896551724137931,0.20919540229885059,0.20919540229885059,[X] shares border with [Y] .
P138,0.31985731272294887,0.31985731272294887,0.4221165279429251,0.4221165279429251,[X] is named after [Y] .
P364,0.0,0.0,0.02564102564102564,0.02564102564102564,The original language of [X] is [Y] .
P54,0.0,0.0,0.15175879396984926,0.15175879396984926,[X] plays with [Y] .
P463,0.0,0.0,0.17484008528784648,0.17484008528784648,[X] is a member of [Y] .
P101,0.012925969447708578,0.012925969447708578,0.136310223266745,0.136310223266745,[X] works in the field of [Y] .
P1923,0.0,0.0,0.049255441008018326,0.049255441008018326,[Y] participated in the [X] .
P106,0.008849557522123894,0.008849557522123894,0.26991150442477874,0.26991150442477874,[X] is a [Y] by profession .
P527,0.0023752969121140144,0.0023752969121140144,0.2042755344418052,0.2042755344418052,[X] consists of [Y] .
P102,0.0010070493454179255,0.0010070493454179255,0.18026183282980865,0.18026183282980865,[X] is a member of the [Y] political party .
P530,0.0,0.0,0.1342281879194631,0.1342281879194631,[X] maintains diplomatic relations with [Y] .
P176,0.08759124087591241,0.08759124087591241,0.23357664233576642,0.23357664233576642,[X] is produced by [Y] .
P27,0.0,0.0,0.01303538175046555,0.01303538175046555,[X] is [Y] citizen .
P407,0.06666666666666667,0.06666666666666667,0.35555555555555557,0.35555555555555557,[X] was written in [Y] .
P30,0.0,0.0,0.04081632653061224,0.04081632653061224,[X] is located in [Y] .
P178,0.0199501246882793,0.0199501246882793,0.25561097256857856,0.25561097256857856,[X] is developed by [Y] .
P1376,0.026845637583892617,0.026845637583892617,0.19865771812080538,0.19865771812080538,[X] is the capital of [Y] .
P131,0.030508474576271188,0.030508474576271188,0.25254237288135595,0.25254237288135595,[X] is located in [Y] .
P1412,0.0,0.0,0.09523809523809523,0.09523809523809523,[X] used to communicate in [Y] .
P108,0.0010395010395010396,0.0010395010395010396,0.2390852390852391,0.2390852390852391,[X] works for [Y] .
P136,0.0,0.0,0.11069651741293532,0.11069651741293532,[X] plays [Y] music .
P17,0.003703703703703704,0.003703703703703704,0.2074074074074074,0.2074074074074074,[X] is located in [Y] .
P39,0.0011641443538998836,0.0011641443538998836,0.22584400465657742,0.22584400465657742,[X] has the position of [Y] .
P264,0.0,0.0,0.2222222222222222,0.2222222222222222,[X] is represented by music label [Y] .
P276,0.1581196581196581,0.1581196581196581,0.3418803418803419,0.3418803418803419,[X] is located in [Y] .
P937,0.013245033112582781,0.013245033112582781,0.11920529801324503,0.11920529801324503,[X] used to work in [Y] .
P140,0.0,0.0,0.6929510155316607,0.6929510155316607,[X] is affiliated with the [Y] religion .
P1303,0.0,0.0,0.056716417910447764,0.056716417910447764,[X] plays [Y] .
P127,0.02023809523809524,0.02023809523809524,0.2392857142857143,0.2392857142857143,[X] is owned by [Y] .
P103,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,The native language of [X] is [Y] .
P190,0.009615384615384616,0.009615384615384616,0.16666666666666666,0.16666666666666666,[X] and [Y] are twin cities .
P1001,0.27631578947368424,0.27631578947368424,0.3815789473684211,0.3815789473684211,[X] is a legal term in [Y] .
P31,0.07681159420289856,0.07681159420289856,0.24202898550724639,0.24202898550724639,[X] is a [Y] .
P495,0.0,0.0,0.06874189364461739,0.06874189364461739,[X] was created in [Y] .
P159,0.12149532710280374,0.12149532710280374,0.2616822429906542,0.2616822429906542,The headquarter of [X] is in [Y] .
P36,0.16763848396501457,0.16763848396501457,0.33090379008746357,0.33090379008746357,The capital of [X] is [Y] .
P740,0.010638297872340425,0.010638297872340425,0.23138297872340424,0.23138297872340424,[X] was founded in [Y] .
P361,0.01160092807424594,0.01160092807424594,0.21693735498839908,0.21693735498839908,[X] is part of [Y] .
